n,beta,se,p_value,ci_lower,ci_upper,r2,outcome,specification,significant,spec,description
47,-4.123596539648538e-06,6.271706795407461e-06,0.5143689939317387,-1.6771698709790898e-05,8.524505630493822e-06,0.2469517708674249,hba1c_high_rate,Spec1_Baseline,False,,
47,-4.123596539648538e-06,7.71689677784489e-06,0.5930928842699535,-1.9248436296637716e-05,1.1001243217340638e-05,0.2469517708674249,hba1c_high_rate,Spec2_HC3,False,,
47,-4.123596539648538e-06,6.271706795407461e-06,0.5143689939317387,-1.6771698709790898e-05,8.524505630493822e-06,0.2469517708674249,hba1c_high_rate,Spec3_OutlierExcluded,False,,
44,-4.878207229599708e-06,6.624697774533894e-06,0.4658043900026343,-1.826722086992689e-05,8.510806410727479e-06,0.1598742601619791,hba1c_high_rate,Spec4_MetropolisExcluded,False,,
47,-0.0413944056839739,0.0745465073665156,0.5815786167278687,-0.1917317655697055,0.1089429542017577,0.2724778794405718,hba1c_high_rate,Spec5_LogTransformed,False,,
47,-7.782919272976616e-06,5.934901533021723e-06,0.1965312050242781,-1.9743927380145174e-05,4.178088834191945e-06,0.2026577646784895,hba1c_high_rate,Spec6_AgingOnly,False,,
47,-1.1119062713474536e-06,6.922736144005036e-06,0.8731654491371184,-1.5082553417003924e-05,1.2858740874309018e-05,0.2653238552277368,hba1c_high_rate,Spec7_IncomeAdjusted,False,,
47,-9.035892595816961e-08,3.083232293533828e-07,0.7708817248691118,-7.121519774358678e-07,5.314341255195286e-07,0.2325719462827962,hba1c_mean,Spec1_Baseline,False,,
47,-9.035892595816961e-08,2.495188701853889e-07,0.7172529170948887,-5.794069249846569e-07,3.986890730683177e-07,0.2325719462827962,hba1c_mean,Spec2_HC3,False,,
47,-9.035892595816961e-08,3.083232293533828e-07,0.7708817248691118,-7.121519774358678e-07,5.314341255195286e-07,0.2325719462827962,hba1c_mean,Spec3_OutlierExcluded,False,,
44,-9.337832954233687e-08,3.230506441766964e-07,0.774034675034148,-7.462880363104464e-07,5.595313772257727e-07,0.1659541299604652,hba1c_mean,Spec4_MetropolisExcluded,False,,
47,-0.0012328344033474,0.004765369089166,0.7970957139323943,-0.01084311707191,0.0083774482652152,0.233505563692754,hba1c_mean,Spec5_LogTransformed,False,,
47,-4.559301468867402e-07,3.161118335353105e-07,0.1562968573992562,-1.0930116860917694e-06,1.8115139231828922e-07,0.0461652911118932,hba1c_mean,Spec6_AgingOnly,False,,
47,7.731672964618546e-08,3.391239478653457e-07,0.8207606628216199,-6.070631045284246e-07,7.616965638207955e-07,0.2565852396464075,hba1c_mean,Spec7_IncomeAdjusted,False,,
47,0.0018382934021083,0.0008575899739239,0.0377665237590692,0.0001087983915599,0.0035677884126567,0.1044675476881031,dm_complication_rate,Spec1_Baseline,True,,
47,0.0018382934021083,0.0007223570714716,0.0109323385396469,0.0004224995580461,0.0032540872461705,0.1044675476881031,dm_complication_rate,Spec2_HC3,True,,
47,0.0018382934021083,0.0008575899739239,0.0377665237590692,0.0001087983915599,0.0035677884126567,0.1044675476881031,dm_complication_rate,Spec3_OutlierExcluded,True,,
44,0.0017996361155498,0.0009072932304546,0.0542027413870207,-3.407190431350027e-05,0.0036333441354131,0.0952819587790351,dm_complication_rate,Spec4_MetropolisExcluded,False,,
47,1.087108647463714,0.4308149570001713,0.0154005231040786,0.218287484370798,1.9559298105566296,0.1516076660273371,dm_complication_rate,Spec5_LogTransformed,True,,
47,0.0016466004070234,0.0007920689589002,0.0434923855284315,5.02903105323554e-05,0.0032429105035145,0.096736708118955,dm_complication_rate,Spec6_AgingOnly,True,,
47,0.001423295980943,0.0009464278526908,0.1401003064162613,-0.00048667275161,0.0033332647134961,0.126654582044144,dm_complication_rate,Spec7_IncomeAdjusted,False,,
47,-0.0006829487935248,0.0004573403160264,0.1426591984875709,-0.0016052634412478,0.000239365854198,0.0555834214454232,dialysis_prevention_rate,Spec1_Baseline,False,,
47,-0.0006829487935248,0.0006150998839967,0.2668673973741023,-0.0018885224130532,0.0005226248260034,0.0555834214454232,dialysis_prevention_rate,Spec2_HC3,False,,
46,-0.000343417921568,0.0004041058700037,0.4002427306603375,-0.0011589365838242,0.000472100740688,0.0279362476900503,dialysis_prevention_rate,Spec3_OutlierExcluded,False,,
44,-0.0007774700316565,0.0004798424503959,0.1130343931939015,-0.0017472677993761,0.000192327736063,0.066029657809313,dialysis_prevention_rate,Spec4_MetropolisExcluded,False,,
47,-0.5317577295328917,0.5820739694493393,0.3660438597445541,-1.705621763094949,0.6421063040291657,0.0372588125366464,dialysis_prevention_rate,Spec5_LogTransformed,False,,
47,-0.000505743723773,0.0004260074511115,0.2415300758643204,-0.0013643053272146,0.0003528178796685,0.031085505004911,dialysis_prevention_rate,Spec6_AgingOnly,False,,
47,-0.0006625020263443,0.000511033088229,0.2019167235920954,-0.0016938085512341,0.0003688044985455,0.0557831409373015,dialysis_prevention_rate,Spec7_IncomeAdjusted,False,,
47,-5.99606447937451e-06,5.734539565207345e-06,0.2957433401930294,-1.7235762027180906e-05,5.243633068431887e-06,0.330648345015115,hba1c_high_rate,Spec8_SLM,False,,
47,,,,,,,hba1c_mean,Spec8_LM_ns_OLS_OK,False,,
47,,,,,,,dm_complication_rate,Spec8_LM_ns_OLS_OK,False,,
47,,,,,,,dialysis_prevention_rate,Spec8_LM_ns_OLS_OK,False,,
47,-5.872022026106159e-06,6.309140070876005e-06,0.3573192372323538,-1.8604382163659686e-05,6.860338111447367e-06,0.2828491067088663,hba1c_high_rate,,,Spec8_Smoking,喫煙率（smoking_rate）追加調整
47,-1.8177565725930537e-07,3.0914381504610283e-07,0.5596828548697372,-8.056531339433347e-07,4.421018194247239e-07,0.27395220665729325,hba1c_mean,,,Spec8_Smoking,喫煙率（smoking_rate）追加調整
47,0.0017424375670782855,0.0008806429265343633,0.054443994646726813,-3.4771809677200134e-05,0.003519646943833771,0.11132994266541263,dm_complication_rate,,,Spec8_Smoking,喫煙率（smoking_rate）追加調整
47,-0.000616348310129371,0.00046836773483949847,0.19532862391648892,-0.0015615526659994835,0.0003288560457407415,0.06786788094656726,dialysis_prevention_rate,,,Spec8_Smoking,喫煙率（smoking_rate）追加調整
47,-1.672342206096461e-06,6.556535890523899e-06,0.7999178630729459,-1.4903967320635174e-05,1.1559282908442252e-05,0.27245534528628756,hba1c_high_rate,,,Spec9_BMI,BMI肥満率（bmi_obesity_rate）追加調整
47,-9.196501014078286e-08,3.2792551145478604e-07,0.780513053245785,-7.537454846950666e-07,5.698154644135009e-07,0.2325765630161759,hba1c_mean,,,Spec9_BMI,BMI肥満率（bmi_obesity_rate）追加調整
47,0.0011039144958904128,0.0008346855544763585,0.19314139988755677,-0.0005805491492051939,0.0027883781409860195,0.25005881686154774,dm_complication_rate,,,Spec9_BMI,BMI肥満率（bmi_obesity_rate）追加調整
47,-0.0008456530476485625,0.0004795450582182285,0.08509902108636479,-0.0018134141553157747,0.00012210806001864978,0.08208400572960195,dialysis_prevention_rate,,,Spec9_BMI,BMI肥満率（bmi_obesity_rate）追加調整
47,-7.473494952683088e-07,6.560212587667682e-06,0.9098698879831124,-1.4006033711380893e-05,1.2511334720844276e-05,0.3790931017631044,hba1c_high_rate,,,Spec10_Full,"全主要交絡同時調整（aging, density, income, smoking, BMI）"
47,4.471553737738759e-08,3.335437472779164e-07,0.8940258245736136,-6.294015218365441e-07,7.188325965913193e-07,0.32318473319367713,hba1c_mean,,,Spec10_Full,"全主要交絡同時調整（aging, density, income, smoking, BMI）"
47,0.0011855431377113192,0.0008932741653246601,0.19197241490670147,-0.0006198312946227283,0.002990917570045367,0.2677981087491026,dm_complication_rate,,,Spec10_Full,"全主要交絡同時調整（aging, density, income, smoking, BMI）"
47,-0.0007216169033237237,0.0005023431072432573,0.15863531929791155,-0.0017368901948630559,0.0002936563882156084,0.14133278224902324,dialysis_prevention_rate,,,Spec10_Full,"全主要交絡同時調整（aging, density, income, smoking, BMI）"
